headline/main,pub_date,web_url,headline/content_kicker,headline/kicker,
Clinton Foundation Health Project Still Mulling Foreign Donations,16-08-19,http://www.nytimes.com/reuters/2016/08/19/us/politics/19reuters-usa-election-clinton.html,,,
Clinton Need Not Give Sworn Testimony Over Emails: U.S. Judge,16-08-19,http://www.nytimes.com/reuters/2016/08/19/us/politics/19reuters-usa-election-clinton-lawsuit.html,,,
Hillary Clinton Told F.B.I. Colin Powell Advised Her to Use Private Email,16-08-20,http://www.nytimes.com/2016/08/19/us/politics/hillary-clinton-told-fbi-colin-powell-advised-her-to-use-private-email.html,,,
Judge Orders Written Testimony From Hillary Clinton on Emails,16-08-20,http://www.nytimes.com/2016/08/20/us/politics/hillary-clinton-judge-emails.html,,,
"Clinton Having a Quiet August, and for Her, That's Just Fine",16-08-20,http://www.nytimes.com/aponline/2016/08/20/us/politics/ap-us-campaign-2016-clinton.html,,,
"Democratic Mega-Donors Plow Money Into Senate, Clinton Bids",16-08-20,http://www.nytimes.com/aponline/2016/08/20/us/politics/ap-us-campaign-2016-money-guide.html,,,
Hillary Clinton and the Ghosts of MTV,16-08-21,http://www.nytimes.com/2016/08/21/opinion/campaign-stops/hillary-clinton-and-the-ghosts-of-mtv.html,Opinion,Opinion,
"Democratic Donors Step Up Efforts on Senate, Clinton Bids",16-08-21,http://www.nytimes.com/aponline/2016/08/21/us/politics/ap-us-campaign-2016-money-guide.html,,,
Trump-Clinton Race Tests Senate Race in Reliably GOP Georgia,16-08-21,http://www.nytimes.com/aponline/2016/08/21/us/ap-us-senate-2016-georgia-.html,,,
The Latest: Clinton Campaign Halfway to Big Fundraising Goal,16-08-21,http://www.nytimes.com/aponline/2016/08/21/us/politics/ap-us-campaign-2016-the-latest.html,,,
Clinton Campaign Halfway to $1 Billion Fundraising Goal,16-08-21,http://www.nytimes.com/aponline/2016/08/21/us/politics/ap-us-campaign-2016-clinton.html,,,
"As Clinton Asks for Cash, Campaign Pitch Remains a Mystery",16-08-22,http://www.nytimes.com/aponline/2016/08/22/us/politics/ap-us-campaign-2016-clinton.html,,,
The Latest: Clinton to Propose New Small Business Tax Cut,16-08-22,http://www.nytimes.com/aponline/2016/08/22/us/politics/ap-us-campaign-2016-the-latest.html,,,
Trump Calls for Special Prosecutor to Investigate Clinton Foundation,16-08-22,http://www.nytimes.com/reuters/2016/08/22/us/22reuters-usa-election-trump.html,,,
"Judge Orders State Department to Review 14,900 Clinton Emails",16-08-22,http://www.nytimes.com/reuters/2016/08/22/us/politics/22reuters-usa-election-clinton-email.html,,,
Bill Clinton Defends Work of Clinton Foundation,16-08-22,http://www.nytimes.com/aponline/2016/08/22/us/politics/ap-us-campaign-2016-clinton-foundation.html,,,
Pence Doubles Down on Call for Clinton to End Foundation,16-08-22,http://www.nytimes.com/aponline/2016/08/22/us/ap-ia-campaign-2016-pence-iowa.html,,,
Trump Calls for Clinton Email Inquiry,16-08-22,http://www.nytimes.com/video/us/elections/100000004606148/trump-calls-for-clinton-email-inquiry.html,,,
Trump Said to Begin Preparation for First Debate Against Clinton,16-08-23,http://www.nytimes.com/2016/08/23/us/politics/donald-trump-debate-prep.html,,,
"Hillary ClintonÕs 15,000 New Emails to Get Timetable for Release",16-08-23,http://www.nytimes.com/2016/08/23/us/politics/hillary-clintons-new-emails-release-state-department.html,More Questions About Email Use Shadow Clinton,,
"Hillary Clinton and Donald Trump, Ages 68 and 70, Share Few Health Details",16-08-23,http://www.nytimes.com/2016/08/23/us/politics/clinton-trump-health.html,Health Details Remain Paltry for Nominees,,
Hillary Clinton Has Sent You a Friend Request,16-08-23,http://www.nytimes.com/2016/08/23/opinion/campaign-stops/hillary-clinton-wants-to-be-your-facebook-friend.html,,Contributing Op-Ed Writer,Op-Ed | Emma Roller
"Hillary Clinton, Donald Trump, Louisiana: Your Tuesday Briefing",16-08-23,http://www.nytimes.com/2016/08/23/nytnow/your-tuesday-briefing-hillary-clinton-donald-trump-louisiana.html,,,
Clinton Details Plans to Boost Small Businesses,16-08-23,http://www.nytimes.com/reuters/2016/08/23/us/politics/23reuters-usa-election-clinton.html,Clinton Details Plans to Boost Small Businesses,,
Trump's Stamina Attack on Clinton Stirs Talk of Gender Bias,16-08-23,http://www.nytimes.com/aponline/2016/08/23/us/ap-us-campaign-2016-trump-gender.html,Trump's Stamina Attack on Clinton Stirs Talk of Gender Bias,,
"In Attacking Clinton Foundation, Trump Seeks a Republican Rallying Cry",16-08-23,http://www.nytimes.com/reuters/2016/08/23/us/politics/23reuters-usa-election.html,,,
Many Donors to Clinton Foundation Met With Her at State,16-08-23,http://www.nytimes.com/aponline/2016/08/23/us/politics/ap-us-campaign-2016-clinton-foundation.html,,,
Clinton Leads Trump by 12 Points in Reuters/Ipsos Poll,16-08-23,http://www.nytimes.com/reuters/2016/08/23/us/politics/23reuters-usa-election-poll.html,,,
"Foundation Donors Who Met, Talked With Clinton",16-08-23,http://www.nytimes.com/aponline/2016/08/23/us/politics/ap-us-campaign-2016-clinton-foundation-glance.html,,,
Think Hillary Clinton Will Win in a Landslide? DonÕt Bet on It,16-08-24,http://www.nytimes.com/2016/08/24/us/politics/hillary-clinton-donald-trump-polls.html,,,
Poll Puts Hillary Clinton Neck-and-Neck With Donald Trump in Missouri,16-08-24,http://www.nytimes.com/2016/08/24/us/politics/poll-puts-hillary-clinton-neck-and-neck-with-donald-trump-in-missouri.html,,,
"Raising Money for Clinton, Cher Sounds Off (and Not Just About Trump)",16-08-24,http://www.nytimes.com/2016/08/24/us/politics/cher-hillary-clinton-donald-trump.html,,,
"Foundation Donors Who Met, Talked With Clinton",16-08-24,http://www.nytimes.com/aponline/2016/08/24/us/politics/ap-us-campaign-2016-clinton-foundation-glance.html,,,
Clinton Proposes New Federal Fund to Combat Zika Virus,16-08-24,http://www.nytimes.com/aponline/2016/08/24/us/ap-us-campaign-2016-clinton-zika.html,,,
Clinton Sees Trump Ties to 'Alt-Right' Dystopian Ideology,16-08-24,http://www.nytimes.com/aponline/2016/08/24/us/politics/ap-us-campaign-2016-clinton-alt-right.html,,,
